ptn_id,ptn_name,kategori,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio_keketatan,nilai_raport,estimasi_nilai_raport,jenis_portofolio
111,UNIVERSITAS SYIAH KUALA,Akademik,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,72,334,4.638888888888889,80,80,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111002,TEKNIK SIPIL,Sarjana,84,515,6.130952380952381,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111003,TEKNIK MESIN,Sarjana,36,282,7.833333333333333,86,86,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111004,TEKNIK KIMIA,Sarjana,54,225,4.166666666666667,77,77,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111005,ARSITEKTUR,Sarjana,48,259,5.395833333333333,83,83,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111006,TEKNIK ELEKTRO,Sarjana,48,299,6.229166666666667,87,87,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111007,AGROTEKNOLOGI,Sarjana,36,252,7.0,87,87,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111008,AGRIBISNIS,Sarjana,48,348,7.25,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111009,PETERNAKAN,Sarjana,44,125,2.840909090909091,76,76,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111010,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,48,180,3.75,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111011,TEKNIK PERTANIAN,Sarjana,42,239,5.690476190476191,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111012,PENDIDIKAN BIOLOGI,Sarjana,36,271,7.527777777777778,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111013,PENDIDIKAN MATEMATIKA,Sarjana,36,297,8.25,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111014,PENDIDIKAN FISIKA,Sarjana,36,95,2.638888888888889,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111015,PENDIDIKAN KIMIA,Sarjana,36,132,3.6666666666666665,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111016,PENDIDIKAN DOKTER,Sarjana,75,1147,15.293333333333333,88,88,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111017,ILMU KEPERAWATAN,Sarjana,108,1343,12.435185185185185,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,30,664,22.133333333333333,95,95,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111019,MATEMATIKA,Sarjana,24,91,3.7916666666666665,79,79,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111020,FISIKA,Sarjana,24,29,1.2083333333333333,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111021,KIMIA,Sarjana,24,120,5.0,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111022,BIOLOGI,Sarjana,24,166,6.916666666666667,83,83,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111023,ILMU KELAUTAN,Sarjana,48,152,3.1666666666666665,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111024,BUDIDAYA PERAIRAN,Sarjana,48,76,1.5833333333333333,78,78,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111025,TEKNIK INDUSTRI,Sarjana,36,455,12.63888888888889,90,90,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111026,INFORMATIKA,Sarjana,36,959,26.63888888888889,93,93,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111027,FARMASI,Sarjana,27,1311,48.55555555555556,92,92,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111028,TEKNIK GEOFISIKA,Sarjana,24,88,3.6666666666666665,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111029,TEKNIK PERTAMBANGAN,Sarjana,36,662,18.38888888888889,90,90,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111030,STATISTIKA,Sarjana,36,270,7.5,80,80,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,36,50,1.3888888888888888,80,80,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111032,ILMU TANAH,Sarjana,36,67,1.8611111111111112,79,79,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111033,TEKNIK GEOLOGI,Sarjana,24,206,8.583333333333334,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,12,15,1.25,78,78,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,12,12,1.0,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,18,18,1.0,79,79,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111037,PROTEKSI TANAMAN,Sarjana,24,62,2.5833333333333335,77,77,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,36,252,7.0,83,83,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111039,KEHUTANAN,Sarjana,36,170,4.722222222222222,80,80,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111040,TEKNIK KOMPUTER,Sarjana,48,712,14.833333333333334,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111041,EKONOMI PEMBANGUNAN,Sarjana,48,317,6.604166666666667,86,86,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111042,MANAJEMEN,Sarjana,60,927,15.45,87,87,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111043,AKUNTANSI,Sarjana,60,716,11.933333333333334,90,90,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111044,ILMU HUKUM,Sarjana,168,979,5.8273809523809526,84,84,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,42,509,12.119047619047619,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111046,PENDIDIKAN SEJARAH,Sarjana,36,428,11.88888888888889,87,87,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111047,PENDIDIKAN EKONOMI,Sarjana,48,231,4.8125,75,75,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111048,PENDIDIKAN GEOGRAFI,Sarjana,48,282,5.875,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,509,10.604166666666666,87,87,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,48,430,8.958333333333334,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,36,186,5.166666666666667,82,82,Sendratasik
111,UNIVERSITAS SYIAH KUALA,Akademik,11111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,48,409,8.520833333333334,84,84,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,60,296,4.933333333333334,80,80,Olahraga
111,UNIVERSITAS SYIAH KUALA,Akademik,11111054,BIMBINGAN KONSELING,Sarjana,45,1101,24.466666666666665,95,95,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,69,1077,15.608695652173912,90,90,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111056,PSIKOLOGI,Sarjana,24,544,22.666666666666668,90,90,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111057,ILMU POLITIK,Sarjana,53,169,3.188679245283019,78,78,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111058,SOSIOLOGI,Sarjana,41,224,5.463414634146342,80,80,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111059,ILMU KOMUNIKASI,Sarjana,54,531,9.833333333333334,85,85,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111060,PENDIDIKAN GURU PAUD,Sarjana,42,317,7.5476190476190474,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111061,ILMU PEMERINTAHAN,Sarjana,54,323,5.981481481481482,84,84,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111062,EKONOMI ISLAM,Sarjana,48,253,5.270833333333333,86,86,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111063,MANAJEMEN (PSDKU GAYO LUES),Sarjana,24,23,0.9583333333333334,75,75,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111078,TEKNOLOGI INDUSTRI HASIL PERIKANAN,Sarjana,15,43,2.8666666666666667,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111079,BISNIS DIGITAL,Sarjana,24,0,0.0,76,76,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111080,TEKNIK SUMBER DAYA AIR,Sarjana,18,0,0.0,77,77,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111081,TEKNIK PERMINYAKAN,Sarjana,18,0,0.0,77,77,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11111082,TEKNIK LINGKUNGAN,Sarjana,18,0,0.0,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11112065,AKUNTANSI PERPAJAKAN,Sarjana Terapan,24,87,3.625,77,77,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113064,KESEHATAN HEWAN,Diploma Tiga,9,14,1.5555555555555556,81,81,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113066,MANAJEMEN AGRIBISNIS,Diploma Tiga,30,9,0.3,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113067,TEKNIK LISTRIK,Diploma Tiga,12,18,1.5,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113068,BUDIDAYA PETERNAKAN,Diploma Tiga,18,5,0.2777777777777778,76,76,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113069,TEKNIK MESIN,Diploma Tiga,12,15,1.25,75,75,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113071,TEKNIK SIPIL,Diploma Tiga,24,11,0.4583333333333333,78,78,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113072,SEKRETARI,Diploma Tiga,12,19,1.5833333333333333,79,79,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113073,MANAJEMEN PERUSAHAAN,Diploma Tiga,12,20,1.6666666666666667,75,75,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113075,AKUNTANSI,Diploma Tiga,24,12,0.5,82,82,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113076,KEUANGAN DAN PERBANKAN,Diploma Tiga,24,48,2.0,79,79,Tidak Ada
111,UNIVERSITAS SYIAH KUALA,Akademik,11113077,MANAJEMEN INFORMATIKA,Diploma Tiga,24,21,0.875,82,82,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121001,TEKNIK SIPIL,Sarjana,165,265,1.606060606060606,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121002,TEKNIK MESIN,Sarjana,150,243,1.62,76,76,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121003,TEKNIK KIMIA,Sarjana,125,124,0.992,77,77,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121004,TEKNIK ELEKTRO,Sarjana,100,164,1.64,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121005,TEKNIK INDUSTRI,Sarjana,125,367,2.936,79,79,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121006,TEKNIK INFORMATIKA,Sarjana,148,640,4.324324324324325,77,77,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121007,TEKNIK ARSITEKTUR,Sarjana,75,81,1.08,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121008,AGROEKOTEKNOLOGI,Sarjana,158,291,1.8417721518987342,76,76,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121009,AGRIBISNIS,Sarjana,133,274,2.0601503759398496,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121010,AKUAKULTUR,Sarjana,58,51,0.8793103448275862,76,76,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121011,KEDOKTERAN,Sarjana,42,707,16.833333333333332,88,88,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121012,PENDIDIKAN FISIKA,Sarjana,60,46,0.7666666666666667,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121013,PENDIDIKAN KIMIA,Sarjana,60,66,1.1,80,80,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121014,PENDIDIKAN MATEMATIKA,Sarjana,60,155,2.5833333333333335,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,38,36,0.9473684210526315,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121016,SISTEM INFORMASI,Sarjana,100,264,2.64,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121017,ILMU KELAUTAN,Sarjana,58,54,0.9310344827586207,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121018,TEKNIK MATERIAL,Sarjana,50,31,0.62,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121019,TEKNIK LOGISTIK,Sarjana,50,50,1.0,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121020,MANAJEMEN,Sarjana,208,587,2.8221153846153846,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121021,AKUNTANSI,Sarjana,163,386,2.3680981595092025,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,105,117,1.1142857142857143,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121023,ADMINISTRASI PUBLIK,Sarjana,135,280,2.074074074074074,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121024,SOSIOLOGI,Sarjana,100,192,1.92,79,79,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121025,ILMU POLITIK,Sarjana,100,45,0.45,79,79,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121026,ANTROPOLOGI,Sarjana,50,59,1.18,76,76,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121027,ILMU KOMUNIKASI,Sarjana,139,294,2.115107913669065,80,80,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121028,HUKUM,Sarjana,250,381,1.524,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121029,EKONOMI SYARIAH,Sarjana,110,162,1.4727272727272727,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121030,PSIKOLOGI,Sarjana,90,379,4.211111111111111,78,78,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121031,PENDIDIKAN BAHASA INDONESIA,Sarjana,98,384,3.9183673469387754,76,76,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121032,ADMINISTRASI BISNIS,Sarjana,75,264,3.52,81,81,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121033,KEWIRUSAHAAN,Sarjana,68,98,1.4411764705882353,79,79,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121036,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,30,0,0.0,76,76,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121037,PENDIDIKAN VOKASIONAL REKAYASA ELEKTRO,Sarjana,30,0,0.0,77,77,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121038,BIOTEKNOLOGI,Sarjana,45,0,0.0,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121039,PERENCANAAN WILAYAH DAN KOTA,Sarjana,30,0,0.0,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11121040,TEKNIK LINGKUNGAN,Sarjana,30,0,0.0,75,75,Tidak Ada
112,UNIVERSITAS MALIKUSSALEH,Akademik,11123034,KEPERAWATAN,Diploma Tiga,58,158,2.7241379310344827,76,76,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131001,TEKNIK SIPIL,Sarjana,52,100,1.9230769230769231,75,75,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131002,TEKNIK MESIN,Sarjana,44,103,2.340909090909091,80,80,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131003,TEKNIK INDUSTRI,Sarjana,44,123,2.7954545454545454,82,82,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131004,AGRIBISNIS,Sarjana,48,79,1.6458333333333333,76,76,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131005,AGROTEKNOLOGI,Sarjana,46,67,1.4565217391304348,78,78,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131006,PERIKANAN,Sarjana,24,32,1.3333333333333333,80,80,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131007,KESEHATAN MASYARAKAT,Sarjana,64,320,5.0,82,82,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131008,AKUAKULTUR,Sarjana,22,12,0.5454545454545454,78,78,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131009,SUMBER DAYA AKUATIK,Sarjana,22,6,0.2727272727272727,80,80,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,64,1.3333333333333333,80,80,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131011,ILMU KELAUTAN,Sarjana,22,35,1.5909090909090908,77,77,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131012,TEKNOLOGI INFORMASI,Sarjana,48,149,3.1041666666666665,78,78,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131013,GIZI,Sarjana,52,322,6.1923076923076925,81,81,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131014,EKONOMI PEMBANGUNAN,Sarjana,34,40,1.1764705882352942,80,80,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131015,ILMU ADMINISTRASI NEGARA,Sarjana,60,107,1.7833333333333334,77,77,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131016,SOSIOLOGI,Sarjana,48,99,2.0625,82,82,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131017,ILMU KOMUNIKASI,Sarjana,56,87,1.5535714285714286,78,78,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131018,MANAJEMEN,Sarjana,64,190,2.96875,76,76,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131019,AKUNTANSI,Sarjana,60,127,2.1166666666666667,77,77,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131020,ILMU HUKUM,Sarjana,64,105,1.640625,81,81,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131021,PETERNAKAN,Sarjana,24,28,1.1666666666666667,82,82,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131022,BISNIS DIGITAL,Sarjana,38,87,2.289473684210526,79,79,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131023,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,38,156,4.105263157894737,76,76,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131024,BAHASA DAN KEBUDAYAAN INGGRIS,Sarjana,24,25,1.0416666666666667,77,77,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131025,TEKNIK INFRASRUKTUR DAN LINGKUNGAN,Sarjana,16,0,0.0,75,75,Tidak Ada
113,UNIVERSITAS TEUKU UMAR,Akademik,11131026,SAINS KEOLAHRAGAAN,Sarjana,16,0,0.0,82,82,Olahraga
113,UNIVERSITAS TEUKU UMAR,Akademik,11131027,BIOSAINS HEWAN,Sarjana,16,0,0.0,76,76,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141001,AGROTEKNOLOGI,Sarjana,48,152,3.1666666666666665,81,81,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141002,AGRIBISNIS,Sarjana,60,175,2.9166666666666665,76,76,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141003,AKUAKULTUR,Sarjana,16,25,1.5625,78,78,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141004,PENDIDIKAN MATEMATIKA,Sarjana,12,66,5.5,85,85,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141005,PENDIDIKAN FISIKA,Sarjana,12,27,2.25,77,77,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141006,PENDIDIKAN KIMIA,Sarjana,12,22,1.8333333333333333,76,76,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141007,PENDIDIKAN BIOLOGI,Sarjana,36,109,3.0277777777777777,76,76,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141008,TEKNIK MESIN,Sarjana,44,72,1.6363636363636365,80,80,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141009,TEKNIK SIPIL,Sarjana,60,108,1.8,81,81,Tidak Ada
114,UNIVERSITAS SAMUDRA,Akademik,11141010,TEKNIK INDUSTRI,Sarjana,48,161,3.3541666666666665,79,79,Tidak Ada
