id,univ,prodi,kode,jenjang,kelompok,rumpun_ilmu,prov,itk,keketatan_2025,rataan,point,passing_grade_est,pg_batas_bawah,pg_batas_atas,level,daya_tampung_2026,peminat_2025,mu1,mu2,mu3,mu4,mu5,mu6,mu7,pmu1,pmu2,pmu3,pmu4,pmu5,pmu6,pmu7,ukt1,ukt2,ukt3,ukt4,ukt5,ukt_min,ukt_max
0006aee9-d869-4836-8517-88b15c514aa3,UNIVERSITAS MULAWARMAN,FISIKA,15411015,S1,Saintek,Saintek-Sains,Kalimantan Timur,83.33,1.2000,472.70,467.30,470,465,475,C2,20,24,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
000a04d4-3b63-4051-83ed-2f08072c77e4,UIN SUNAN KALIJAGA,ARSITEKTUR,13651040,S1,Saintek,Saintek-Teknik,Yogyakarta,22.68,4.4091,522.70,517.30,520,515,525,B2,22,97,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.11,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,625,000.00","Rp16,575,000.00","Rp19,500,000.00",500000.0,19500000.0
002622c9-e73e-4c91-85f1-cd7077a35545,UNIVERSITAS SAMUDRA,AKUAKULTUR,11141003,S1,Saintek,Saintek-Teknik,Aceh,55.17,1.8125,482.70,477.30,480,475,485,D,16,29,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
002dec3d-20d9-4d6b-843f-365e1ef1f2fe,UNIVERSITAS JAMBI,AKUNTANSI,11511041,S1,Soshum,Soshum-Ekonomi,Jambi,12.44,8.0370,567.70,562.30,565,560,570,A1,81,651,PBM,PU,PPU,PK,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
003ba376-e659-4bd9-9f38-e1b00da4fcb0,UNIVERSITAS PENDIDIKAN INDONESIA,TEKNOLOGI PANGAN,13341107,S1,Saintek,Saintek-Pertanian,Jawa Barat,2.34,42.7333,687.70,682.30,685,680,690,C2,15,641,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
003e65f5-8d89-4d98-9886-7c3c96d46994,UNIVERSITAS PADJADJARAN,SASTRA PERANCIS,13331047,S1,Soshum,Soshum-Sosial,Jawa Barat,9.68,10.3333,582.70,577.30,580,575,585,A3,30,310,PBM,PU,PPU,PK,LBE,LBI,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
00447667-1852-4736-8285-1a381d9d99aa,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK BIOMEDIK,13821029,S1,Saintek,Saintek-Teknik,Jawa Timur,6.62,15.1111,617.70,612.30,615,610,620,A2,36,544,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
004a7057-b7fc-4404-a0e6-e04b6dda611c,UNIVERSITAS LAMBUNG MANGKURAT,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,15311044,S1,Soshum,Soshum-Humaniora,Kalimantan Selatan,22.13,4.5185,522.70,517.30,520,515,525,B1,27,122,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
004abbab-b9df-4637-b7a7-df1fb226668f,UNIVERSITAS BORNEO TARAKAN,MANAJEMEN SUMBER DAYA PERAIRAN,15511007,S1,Saintek,Soshum-Ekonomi,Kalimantan Utara,109.09,0.9167,472.70,467.30,470,465,475,D,36,33,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
004d52bc-e758-4608-ac30-78c1e993e821,UNIVERSITAS LAMBUNG MANGKURAT,PENDIDIKAN IPS,15311063,S1,Soshum,Soshum-Sosial,Kalimantan Selatan,46.15,2.1667,492.70,487.30,490,485,495,B1,24,52,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
006d4f51-e040-48c4-9189-daab8288ee07,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,13561049,S1,Soshum,Soshum-Humaniora,Jawa Tengah,9.95,10.0462,582.70,577.30,580,575,585,A3,65,653,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
008659f7-e161-405d-b18a-bdc64a52076f,POLITEKNIK NEGERI AMBON,TEKNIK KONSTRUKSI JALAN DAN JEMBATAN,28312003,D4,Saintek,Saintek-Teknik,Maluku,163.64,0.6111,472.70,467.30,470,465,475,D,36,22,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,235,404.00","Rp13,866,791.00","Rp16,313,872.00",500000.0,16313872.0
009e8ae7-dace-456b-989f-925f1ac20c0f,UIN SUNAN GUNUNG DJATI,KIMIA,13361005,S1,Saintek,Saintek-Sains,Jawa Barat,30.51,3.2778,507.70,502.30,505,500,510,B3,36,118,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.11,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,625,000.00","Rp16,575,000.00","Rp19,500,000.00",500000.0,19500000.0
00af43b4-c9f5-4f5f-8f98-a99c1dfcf548,UNIVERSITAS JAMBI,PENDIDIKAN KEPELATIHAN OLAHRAGA,11511028,S1,Saintek,Saintek-Teknik,Jambi,42.42,2.3571,492.70,487.30,490,485,495,C3,42,99,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
00ba32eb-c071-419a-81a0-08413278383b,UNIVERSITAS GADJAH MADA,PERENCANAAN WILAYAH DAN KOTA,13611030,S1,Saintek,Saintek-Teknik,Yogyakarta,4.79,20.8696,637.70,632.30,635,630,640,A1,23,480,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
00bbbe93-fbb9-4d57-a6c9-9cd9341472b9,POLITEKNIK PERTANIAN NEGERI SAMARINDA,TEKNOLOGI REKAYASA GEOMATIKA DAN SURVEI,25612010,D4,Saintek,Saintek-Teknik,Kalimantan Timur,60.87,1.6429,482.70,477.30,480,475,485,C3,28,46,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,430,016.00","Rp15,220,685.00","Rp17,906,688.00",500000.0,17906688.0
00bf97c4-e664-472a-bf9e-3310f24f7df9,UNIVERSITAS NEGERI MEDAN,BISNIS DIGITAL,11221053,S1,Soshum,Saintek-IT,Sumatera Utara,12.85,7.7821,552.70,547.30,550,545,555,B3,78,607,PBM,PU,PPU,PK,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
00c149ad-11d2-40c7-ada6-4c24243ca260,UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,13831068,S1,Soshum,Soshum-Ekonomi,Jawa Timur,21.75,4.5984,522.70,517.30,520,515,525,A3,122,561,PBM,PU,PPU,PK,LBI,PM,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,647,762.00","Rp16,600,797.00","Rp19,530,349.00",500000.0,19530349.0
00c25523-28e9-4fc0-8e35-bae08c389c5e,UIN MAHMUD YUNUS BATUSANGKAR,MATEMATIKA,11941001,S1,Saintek,Saintek-Sains,Sumatera Barat,35.44,2.8214,492.70,487.30,490,485,495,D,28,79,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.11,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,025,000.00","Rp15,895,000.00","Rp18,700,000.00",500000.0,18700000.0
00d4511e-ef90-4068-85cc-bdd57f34fe18,UNIVERSITAS HASANUDDIN,AKUNTANSI,17111061,S1,Soshum,Soshum-Ekonomi,Sulawesi Selatan,9.8,10.2000,582.70,577.30,580,575,585,A1,130,1326,PBM,PU,PPU,PK,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,647,762.00","Rp16,600,797.00","Rp19,530,349.00",500000.0,19530349.0
00fda59d-9623-4c86-8003-e498c5fcdfa2,UNIVERSITAS BANGKA BELITUNG,TEKNOLOGI INFORMASI,11811024,S1,Saintek,Saintek-IT,Kepulauan Bangka Belitung,16.85,5.9333,537.70,532.30,535,530,540,C3,45,267,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
01274a9d-9606-432a-98a5-719dcadeb4b3,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TEKNIK MESIN,13561006,S1,Saintek,Saintek-Teknik,Jawa Tengah,16.46,6.0741,552.70,547.30,550,545,555,B2,27,164,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
01286769-0f86-470d-8fc3-7b15ad20d380,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,SAINS KOMUNIKASI,13821056,S1,Soshum,Soshum-Sosial,Jawa Timur,12.08,8.2778,567.70,562.30,565,560,570,A3,18,149,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,,,,,,500000.0,15498450.0
